1,0,1229
1,1,944
1,10,1514
1,11,1584
1,12,1634
1,13,1761
1,14,2008
1,15,2154
1,16,2217
1,17,2225
1,18,2016
1,19,1937
1,2,572
1,20,1820
1,21,1878
1,22,1797
1,23,1559
1,3,466
1,4,628
1,5,1115
1,6,1659
1,7,1622
1,8,1576
1,9,1561
2,0,1476
2,1,1147
2,10,1447
2,11,1510
2,12,1565
2,13,1730
2,14,1970
2,15,2256
2,16,2302
2,17,2163
2,18,1956
2,19,1932
2,2,729
2,20,2144
2,21,2092
2,22,2206
2,23,1997
2,3,603
2,4,749
2,5,1096
2,6,1472
2,7,1533
2,8,1507
2,9,1567
3,0,1564
3,1,1134
3,10,1422
3,11,1449
3,12,1595
3,13,2146
3,14,1951
3,15,2110
3,16,2144
3,17,2082
3,18,1911
3,19,1965
3,2,646
3,20,1913
3,21,2130
3,22,2169
3,23,2067
3,3,508
3,4,659
3,5,990
3,6,1382
3,7,1507
3,8,1449
3,9,1456
4,0,1776
4,1,1296
4,10,1399
4,11,1523
4,12,1672
4,13,1854
4,14,2242
4,15,2463
4,16,2398
4,17,2430
4,18,2244
4,19,2228
4,2,877
4,20,2226
4,21,2234
4,22,2355
4,23,2380
4,3,663
4,4,803
4,5,1132
4,6,1592
4,7,1732
4,8,1541
4,9,1667
5,0,2279
5,1,1912
5,10,1545
5,11,1599
5,12,1703
5,13,1824
5,14,2142
5,15,2190
5,16,2170
5,17,2075
5,18,1835
5,19,1899
5,2,1421
5,20,1823
5,21,1859
5,22,1930
5,23,2086
5,3,1007
5,4,1118
5,5,1204
5,6,1548
5,7,1692
5,8,1785
5,9,1513
6,0,2318
6,1,2428
6,10,1242
6,11,1406
6,12,1491
6,13,1524
6,14,1758
6,15,1912
6,16,2011
6,17,2023
6,18,1799
6,19,1796
6,2,2485
6,20,1800
6,21,1637
6,22,1712
6,23,1770
6,3,2348
6,4,1869
6,5,1347
6,6,1290
6,7,1245
6,8,1243
6,9,1260
7,0,1975
7,1,2207
7,10,1315
7,11,1435
7,12,1552
7,13,1779
7,14,2105
7,15,2294
7,16,2262
7,17,2321
7,18,2126
7,19,1915
7,2,2154
7,20,1722
7,21,1664
7,22,1683
7,23,1505
7,3,2433
7,4,2249
7,5,1377
7,6,1268
7,7,1259
7,8,1287
7,9,1159
