2013-01-01,0,28999
2013-01-01,5,10828
2013-01-01,4,18271
2013-01-01,15,19734
2013-01-01,20,16363
2013-01-01,12,18551
2013-01-01,23,11079
2013-01-01,3,25300
2013-01-01,7,6917
2013-01-01,13,19745
2013-01-01,16,18012
2013-01-01,9,7498
2013-01-01,11,14982
2013-01-01,10,10690
2013-01-01,17,19697
2013-01-01,6,7969
2013-01-01,1,31799
2013-01-01,21,15944
2013-01-01,8,6052
2013-01-01,2,29182
2013-01-01,18,21390
2013-01-01,19,18409
2013-01-01,14,20034
2013-01-01,22,15184
2013-01-02,2,2870
2013-01-02,21,20282
2013-01-02,22,18597
2013-01-02,11,19302
2013-01-02,9,22756
2013-01-02,5,4196
2013-01-02,6,10898
2013-01-02,19,26440
2013-01-02,4,2475
2013-01-02,14,21643
2013-01-02,13,21245
2013-01-02,18,27334
2013-01-02,20,22366
2013-01-02,16,19193
2013-01-02,17,23056
2013-01-02,23,13819
2013-01-02,3,2016
2013-01-02,0,7480
2013-01-02,10,19765
2013-01-02,15,21273
2013-01-02,1,4570
2013-01-02,7,17376
2013-01-02,8,23013
2013-01-02,12,21036
2013-01-03,12,22043
2013-01-03,4,2759
2013-01-03,20,26767
2013-01-03,22,23812
2013-01-03,8,24752
2013-01-03,0,9776
2013-01-03,10,21400
2013-01-03,2,4027
2013-01-03,3,2766
2013-01-03,11,20921
2013-01-03,9,25566
2013-01-03,1,6173
2013-01-03,17,24659
2013-01-03,5,4009
2013-01-03,15,22339
2013-01-03,21,26337
2013-01-03,23,17785
2013-01-03,13,22501
2013-01-03,18,30533
2013-01-03,6,10615
2013-01-03,14,23148
2013-01-03,7,18279
2013-01-03,16,19898
2013-01-03,19,30368
2013-01-04,14,23799
2013-01-04,15,22942
2013-01-04,16,20436
2013-01-04,2,5540
2013-01-04,21,27937
2013-01-04,23,28023
2013-01-04,6,10407
2013-01-04,1,8356
2013-01-04,10,21388
2013-01-04,13,22481
2013-01-04,11,21262
2013-01-04,18,31225
2013-01-04,20,30098
2013-01-04,5,3953
2013-01-04,4,3344
2013-01-04,12,22634
2013-01-04,22,29966
2013-01-04,17,25048
2013-01-04,19,33923
2013-01-04,9,25053
2013-01-04,3,3835
2013-01-04,0,13073
2013-01-04,7,18659
2013-01-04,8,25055
2013-01-05,3,12673
2013-01-05,5,3799
2013-01-05,6,4291
2013-01-05,0,26170
2013-01-05,10,17600
2013-01-05,8,9091
2013-01-05,11,20812
2013-01-05,22,29893
2013-01-05,18,28462
2013-01-05,19,30733
2013-01-05,7,6346
2013-01-05,12,22293
2013-01-05,2,17321
2013-01-05,20,26881
2013-01-05,4,7885
2013-01-05,15,23680
2013-01-05,17,25586
2013-01-05,9,13908
2013-01-05,16,22374
2013-01-05,13,23122
2013-01-05,23,31137
2013-01-05,1,21668
2013-01-05,21,25295
2013-01-05,14,22783
2013-01-06,13,21732
2013-01-06,20,17821
2013-01-06,1,26045
2013-01-06,6,4080
2013-01-06,16,21025
2013-01-06,5,4219
2013-01-06,7,5291
